session,turn,stage,end_after_commit_ms,elapsed_ms,slot_wait_ms,scheduler_wait_ms,preprocessing_ms,audio_encoder_ms,image_encoder_ms,prefix_prefill_ms,suffix_ms,suffix_queue_ms,tokens,cached_tokens,computed_tokens,cache_ratio,candidates,batches
sess_dee23864,turn_19a1c6ee_9,reply-history-route,206.338,205.791,0.015,11.735426029190421,6.544,0.0,0.0,84.04034678824246,106.93320306017995,10.312099009752274,1308,1290,18,0.9862385321100917,4,1
sess_dee23864,turn_19a1c6ee_9,category,332.776,331.375,0.009,17.326283967122436,75.739,0.0,0.0,97.26385702379048,70.55454608052969,15.220384113490582,9651,8978,673,0.9302662936483266,51,1
sess_dee23864,turn_19a1c6ee_9,performance,411.807,410.139,204.317,11.394734028726816,5.753,0.0,0.0,56.464631110429764,70.62201900407672,6.023331079632044,1033,1014,19,0.9816069699903195,48,1
sess_dee23864,turn_19a1c6ee_9,child,583.821,250.508,0.008,9.825354907661676,46.822,0.0,0.0,78.54837900958955,57.01289884746075,8.829271886497736,5946,5347,599,0.8992600067272116,49,1
sess_dee23864,turn_19a1c6ee_9,pure-action-reply-validation,697.197,96.89,0.007,1.9637041259557009,3.132,0.0,0.0,43.25788584537804,45.864291954785585,0.9839751292020082,443,410,33,0.9255079006772009,5,1
sess_dee23864,turn_aeea04c7_11,reply-history-route,207.358,206.79,0.019,11.531593045219779,6.798,0.0,0.0,84.71102197654545,105.9673260897398,9.160968009382486,1308,1290,18,0.9862385321100917,4,1
sess_dee23864,turn_aeea04c7_11,category,334.519,333.046,0.012,18.423181027173996,76.637,0.0,0.0,97.47342811897397,71.75403996370733,16.273894114419818,9651,8978,673,0.9302662936483266,51,1
sess_dee23864,turn_aeea04c7_11,performance,415.525,413.771,205.327,12.339208973571658,5.518,0.0,0.0,56.60437396727502,71.55135995708406,6.108019966632128,1033,1014,19,0.9816069699903195,48,1
sess_dee23864,turn_aeea04c7_11,child,584.341,249.18,0.008,9.183251997455955,46.241,0.0,0.0,78.56006710790098,55.11213303543627,8.148780092597008,5946,5347,599,0.8992600067272116,49,1
sess_dee23864,turn_aeea04c7_11,pure-action-reply-validation,695.421,94.614,0.007,1.8541638273745775,2.995,0.0,0.0,40.796282002702355,46.2039508856833,0.9275178890675306,443,410,33,0.9255079006772009,5,1
sess_dee23864,turn_1ba30acf_13,reply-history-route,213.129,212.569,0.017,12.724688043817878,6.49,0.0,0.0,89.14361009374261,107.8564350027591,11.267079040408134,1308,1290,18,0.9862385321100917,4,1
sess_dee23864,turn_1ba30acf_13,category,339.845,338.436,0.011,18.788449931889772,76.206,0.0,0.0,97.17369987629354,72.65720097348094,17.125136917456985,9651,8978,673,0.9302662936483266,51,1
sess_dee23864,turn_1ba30acf_13,performance,419.723,417.994,211.109,11.484680930152535,6.585,0.0,0.0,56.65073497220874,71.11017499119043,6.248414050787687,1033,1014,19,0.9816069699903195,48,1
sess_dee23864,turn_1ba30acf_13,child,594.711,254.29,0.008,9.15143289603293,45.973,0.0,0.0,78.50724691525102,61.880361987277865,8.116540964692831,5946,5347,599,0.8992600067272116,49,1
sess_dee23864,turn_1ba30acf_13,pure-action-reply-validation,708.316,96.859,0.007,1.8740049563348293,3.152,0.0,0.0,41.86116997152567,47.57869290187955,0.8737959433346987,443,410,33,0.9255079006772009,5,1
sess_dee23864,turn_7b95f580_14,category,193.767,192.814,0.014,10.578925954177976,32.082,0.0,0.0,97.01298410072923,46.77537502720952,3.830506931990385,6821,5998,823,0.8793432048086791,2,1
sess_dee23864,turn_7b95f580_14,performance,253.199,252.003,0.009,7.192678051069379,3.915,0.0,0.0,43.50957088172436,49.46337500587106,5.5918400175869465,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_7b95f580_14,child,388.798,194.64,0.009,1.6834039706736803,13.876,0.0,0.0,89.00153380818665,44.05823000706732,0.8193629328161478,1465,0,1465,0.0,2,1
sess_dee23864,turn_9e6c7af3_15,performance,126.023,118.13,0.016,6.996318930760026,5.069,0.0,0.0,48.622119007632136,49.80017989873886,4.889997886493802,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_bc27c8ed_17,reply-history-route,209.455,208.919,0.016,11.55012077651918,6.4,0.0,0.0,87.72986009716988,107.14881285093725,10.018539847806096,1308,1290,18,0.9862385321100917,4,1
sess_dee23864,turn_bc27c8ed_17,category,338.164,336.778,0.011,18.59835023060441,87.582,0.0,0.0,97.83670282922685,73.07035312987864,17.07792514935136,9651,8978,673,0.9302662936483266,51,1
sess_dee23864,turn_bc27c8ed_17,performance,421.565,419.915,207.455,12.574137886986136,6.373,0.0,0.0,57.13148997165263,73.40237079188228,6.060096900910139,1033,1014,19,0.9816069699903195,48,1
sess_dee23864,turn_bc27c8ed_17,child,592.605,253.861,0.009,9.252557996660471,53.184,0.0,0.0,78.94417480565608,56.55698198825121,8.213208988308907,5946,5347,599,0.8992600067272116,49,1
sess_dee23864,turn_bc27c8ed_17,pure-action-reply-validation,705.974,96.676,0.009,1.8922928720712662,3.079,0.0,0.0,41.69085994362831,47.61581006459892,0.9337880183011293,443,410,33,0.9255079006772009,5,1
sess_dee23864,turn_0330526e_19,reply-history-route,207.354,206.782,0.016,11.786323972046375,6.434,0.0,0.0,85.82502487115562,106.952483067289,10.257795918732882,1308,1290,18,0.9862385321100917,4,1
sess_dee23864,turn_0330526e_19,category,333.857,332.399,0.011,18.94541014917195,86.857,0.0,0.0,97.355977864936,72.33133306726813,16.940344125032425,9651,8978,673,0.9302662936483266,51,1
sess_dee23864,turn_0330526e_19,performance,414.014,412.274,205.306,11.297035263851285,6.327,0.0,0.0,56.51175300590694,71.56544202007353,6.110594142228365,1033,1014,19,0.9816069699903195,48,1
sess_dee23864,turn_0330526e_19,child,582.959,248.52,0.009,9.167809039354324,53.57,0.0,0.0,78.78153608180583,55.48032512888312,8.115248987451196,5946,5347,599,0.8992600067272116,49,1
sess_dee23864,turn_0330526e_19,pure-action-reply-validation,694.814,95.422,0.008,1.7970078624784946,3.017,0.0,0.0,40.38877901621163,47.36338392831385,0.8780928328633308,443,410,33,0.9255079006772009,5,1
sess_dee23864,turn_33a1e400_20,category,195.507,194.509,0.016,10.49943407997489,32.381,0.0,0.0,97.01759088784456,48.242567805573344,3.8694569375365973,6821,5998,823,0.8793432048086791,2,1
sess_dee23864,turn_33a1e400_20,performance,254.518,253.278,0.009,6.83386018499732,4.653,0.0,0.0,44.938124949112535,48.80836303345859,5.184167064726353,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_33a1e400_20,child,359.85,163.945,0.01,1.5542968176305294,14.03,0.0,0.0,58.86567221023142,43.82789693772793,0.6951829418540001,1465,993,472,0.677815699658703,2,1
sess_dee23864,turn_8cb5e804_21,performance,114.33,112.898,0.017,6.349890027195215,5.332,0.0,0.0,46.625616028904915,47.31401801109314,4.8848590813577175,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_a9ea17c3_23,reply-history-route,219.176,218.596,0.018,14.96447203680873,7.178,0.0,0.0,93.06674893014133,106.2889969907701,9.660962037742138,1308,1290,18,0.9862385321100917,4,1
sess_dee23864,turn_a9ea17c3_23,category,399.591,397.87,0.01,18.229715060442686,75.765,0.0,0.0,97.26902516558766,125.0622640363872,16.71928516589105,9651,8978,673,0.9302662936483266,51,1
sess_dee23864,turn_a9ea17c3_23,performance,457.157,455.421,217.079,11.841716011986136,7.278,0.0,0.0,109.42330094985664,50.66743609495461,5.288596032187343,1033,1014,19,0.9816069699903195,48,1
sess_dee23864,turn_a9ea17c3_23,pure-action-reply-validation,572.855,91.404,0.008,1.7483539413660765,2.555,0.0,0.0,40.31940293498337,44.653029879555106,0.8590638171881437,444,410,34,0.9234234234234234,5,1
sess_dee23864,turn_a9ea17c3_23,child,1016.903,443.262,0.006,9.634061949327588,27.836,0.0,0.0,320.75651199556887,56.144571863114834,7.830403978005052,5994,0,5994,0.0,49,1
sess_dee23864,turn_6d3a0974_25,reply-history-route,223.414,222.825,0.018,15.167311998084188,8.117,0.0,0.0,95.48344486393034,106.84135183691978,10.148587869480252,1309,1290,19,0.985485103132162,4,1
sess_dee23864,turn_6d3a0974_25,category,409.056,407.574,0.011,17.482833936810493,99.968,0.0,0.0,97.28942601941526,127.72530596703291,16.056682914495468,9652,8978,674,0.9301699129714049,51,1
sess_dee23864,turn_6d3a0974_25,performance,500.124,498.407,221.301,12.620948953554034,8.225,0.0,0.0,112.78266599401832,82.53544615581632,6.721968995407224,1034,1014,20,0.9806576402321083,48,1
sess_dee23864,turn_6d3a0974_25,child,1135.728,725.994,0.008,17.6731429528445,57.625,0.0,0.0,404.32736184448004,160.91566695831716,15.603528823703527,7271,0,7271,0.0,79,2
sess_dee23864,turn_977d3ee7_26,performance,120.834,119.281,0.015,5.084614967927337,5.218,0.0,0.0,52.046976052224636,47.76088101789355,3.605443052947521,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_832d137b_27,category,204.302,203.295,0.013,9.728445671498775,39.75,0.0,0.0,99.30881415493786,48.7900460138917,3.6774028558284044,6822,5998,824,0.8792143066549399,2,1
sess_dee23864,turn_832d137b_27,performance,262.802,261.566,0.009,7.223916007205844,5.729,0.0,0.0,45.702083967626095,48.65096206776798,5.378874018788338,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_832d137b_27,child,368.363,163.676,0.009,1.5971018001437187,13.952,0.0,0.0,59.27660106681287,43.75942284241319,0.7531719747930765,1466,993,473,0.6773533424283765,2,1
sess_dee23864,turn_40e4f637_28,performance,113.149,112.064,0.018,5.567702930420637,5.143,0.0,0.0,46.26210010610521,46.89688002690673,4.0982558857649565,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_8025de73_30,reply-history-route,213.5,212.925,0.017,17.736411886289716,6.807,0.0,0.0,82.81275001354516,107.98417986370623,9.338890900835395,1309,1290,19,0.985485103132162,4,1
sess_dee23864,turn_8025de73_30,category,396.022,394.549,0.01,18.681016052141786,89.538,0.0,0.0,99.20346294529736,127.77861789800227,17.224038019776344,9652,8978,674,0.9301699129714049,51,1
sess_dee23864,turn_8025de73_30,performance,477.853,475.993,211.442,13.55005893856287,6.216,0.0,0.0,111.77065898664296,73.20251502096653,6.4347488805651665,1034,1014,20,0.9806576402321083,48,1
sess_dee23864,turn_8025de73_30,child,881.117,484.505,0.009,9.046593913808465,54.846,0.0,0.0,320.1266089454293,51.488432101905346,7.162021938711405,6001,0,6001,0.0,40,1
sess_dee23864,turn_8025de73_30,pure-action-reply-validation,996.99,91.035,0.009,1.8966710194945335,3.29,0.0,0.0,38.65457698702812,44.9349011760205,0.9029710199683905,445,410,35,0.9213483146067416,5,1
sess_dee23864,turn_6dd7b0de_31,performance,112.986,111.879,0.016,4.926563939079642,4.982,0.0,0.0,46.10783397220075,45.868328073993325,3.5063319373875856,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_b7316953_33,reply-history-route,217.798,217.27,0.017,16.690370859578252,6.418,0.0,0.0,82.3043929412961,115.47460407018661,11.403316864743829,1309,1290,19,0.985485103132162,4,1
sess_dee23864,turn_b7316953_33,category,346.985,345.564,0.011,19.13359691388905,86.257,0.0,0.0,104.70651788637042,73.99947382509708,16.869845800101757,9739,8978,761,0.9218605606325084,51,1
sess_dee23864,turn_b7316953_33,performance,425.906,424.198,215.744,12.885923963040113,6.205,0.0,0.0,58.204130036756396,70.67622197791934,6.242434959858656,1034,1014,20,0.9806576402321083,48,1
sess_dee23864,turn_b7316953_33,child,836.439,488.922,0.008,9.69852996058762,47.97,0.0,0.0,322.1410799305886,53.36279794573784,7.552349008619785,6012,0,6012,0.0,44,1
sess_dee23864,turn_b7316953_33,pure-action-reply-validation,946.075,93.36,0.009,1.8522620666772127,3.039,0.0,0.0,41.07995587401092,44.740492943674326,0.91933598741889,444,410,34,0.9234234234234234,5,1
sess_dee23864,turn_c5d9c509_34,performance,112.421,111.304,0.019,4.8741539940238,4.994,0.0,0.0,46.24179913662374,45.64101994037628,3.459770930930972,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_95e18fe7_36,reply-history-route,209.747,209.295,0.014,11.169970035552979,5.86,0.0,0.0,82.13806711137295,112.69708606414497,9.837212041020393,1312,1290,22,0.9832317073170732,4,1
sess_dee23864,turn_95e18fe7_36,category,395.444,394.139,0.011,19.084653118625283,83.906,0.0,0.0,103.42600918374956,128.3913841471076,17.595996148884296,9742,8978,764,0.9215766783001437,51,1
sess_dee23864,turn_95e18fe7_36,performance,482.714,481.183,207.83,13.418329181149602,6.969,0.0,0.0,112.0432869065553,78.25885596685112,6.743150996044278,1037,1014,23,0.9778206364513018,48,1
sess_dee23864,turn_95e18fe7_36,child,805.502,409.324,0.009,17.996808979660273,64.426,0.0,0.0,99.77656905539334,153.63319194875658,16.831076936796308,7361,6521,840,0.8858850699633202,79,2
sess_dee23864,turn_c0f42310_37,performance,117.182,116.068,0.017,5.1765949465334415,5.206,0.0,0.0,50.14147190377116,47.46976587921381,3.6794759798794985,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_ef8431c5_39,reply-history-route,136.479,135.87,0.018,2.87391385063529,6.453,0.0,0.0,77.26635900326073,45.15287303365767,1.394140999764204,1309,1290,19,0.985485103132162,4,1
sess_dee23864,turn_ef8431c5_39,category,422.233,420.653,0.012,20.073465071618557,84.664,0.0,0.0,97.60781284421682,125.23161293938756,16.25568699091673,9665,8978,687,0.9289187790998448,51,1
sess_dee23864,turn_ef8431c5_39,performance,503.18,501.24,134.134,12.208008207380772,3.954,0.0,0.0,110.07943283766508,72.61167210526764,6.385044194757938,1034,1014,20,0.9806576402321083,48,1
sess_dee23864,turn_ef8431c5_39,child,662.643,239.861,0.009,8.943276014178991,53.64,0.0,0.0,78.83801218122244,50.37799314595759,7.066696183755994,6014,5446,568,0.9055537080146325,40,1
sess_dee23864,turn_ef8431c5_39,pure-action-reply-validation,770.249,91.094,0.008,1.7950949259102345,2.966,0.0,0.0,39.50089099816978,44.08014286309481,0.870490912348032,444,410,34,0.9234234234234234,5,1
sess_dee23864,turn_1436645e_40,performance,116.458,115.317,0.017,5.074619315564632,5.079,0.0,0.0,47.94734693132341,47.38708003424108,3.535877214744687,1026,1014,12,0.9883040935672515,48,1
sess_dee23864,turn_7a9f4961_41,category,199.709,198.711,0.015,11.67971920222044,33.448,0.0,0.0,97.65712800435722,48.53576608002186,3.5175681114196777,6821,5998,823,0.8793432048086791,2,1
